TargetID,DrugID,uniprot_id,DrugBankID
T53904,D0F6JC,Q96KS0,DB11682
T88505,D0JB3H,Q16236,DB12513
T81100,D0OR3G,P31639,DB12236
T38284,DSHT18,P11274,DB12597
T38284,DSHT18,P00519,DB12597
T30085,D0U7IL,P31639,DB12713
T74456,D0YS1U,P30556,DB12548
T23499,D0YS1U,P25101,DB12548
T74312,D0PN8H,P36888,DB11697
T23172,D0PN8H,P52333,DB11697
T51282,D03KKR,Q13464,DB08162
T83813,D0F5NJ,P28335,DB01454
T48873,D0F5NJ,Q05940,DB01454
T32060,D0F5NJ,P28223,DB01454
T31204,D0F5NJ,P41595,DB01454
T10265,D0T5PO,Q07343,DB01954
T02001,D0T5PO,Q08499,DB01954
T07663,D0T5PO,O76074,DB01954
T61744,D0T5PO,P27815,DB01954
T64567,D03SLR,Q16790,DB07767
T13201,D03SLR,P00915,DB07767
T55959,D0F5NJ,Q01959,DB01454
T83011,D03SLR,P27338,DB07767
T83011,D00BRD,P27338,DB03560
T66665,D0C0JT,P35354,DB04743
T67801,D0C0JT,P02788,DB04743
T12808,D05XMY,P17252,DB12996
T46084,D0C0JT,P50591,DB04743
T44068,D0JP4H,P08588,DB00217
T89534,D0X0KJ,P03372,DB00269
T68334,D0H2UB,P23945,DB04786
T47768,D0T0ZW,P35372,DB12543
T05849,D0TL7L,P32239,DB04856
T62905,D05KBU,Q9Y289,DB08872
T49507,D06WRF,P54760,DB11973
T95399,D0LF1U,P11217,DB03496
T44458,D0LF1U,P50750,DB03496
T36557,D03OSG,Q03181,DB12390
T51407,D00LNW,O14980,DB11942
T60529,D0U3EP,P23219,DB02709
T78709,D06FKC,P08908,DB12883
T83813,D06FKC,P28335,DB12883
T07806,D06FKC,P28222,DB12883
T14731,D0U3EP,Q96EB6,DB02709
T48873,D63WMQ,Q05940,DB11915
T91331,D0U2CV,P22607,DB09283
T16538,D0O8GK,P00533,DB09330
T59328,D0O8GK,P00533,DB09330
T40555,D09SGV,P26664,DB09102
T18477,D06NSS,P07900,DB01003
T66665,D0Q5XX,P35354,DB03756
T60529,D0Q5XX,P23219,DB03756
T75440,D0CS6N,P30536,DB12537
T92072,D0R6MT,P30542,DB07954
T60693,D0HQ0E,P41145,DB12704
T09826,D07ILP,P11387,DB12385
T84737,D0G4SU,Q96RP8,DB06200
T74483,D06PZZ,O43526,DB08837
T82267,D06PZZ,Q9Y5S1,DB08837
T65561,D06PZZ,P17658,DB08837
T44057,D06PZZ,P29972,DB08837
T86271,D06PZZ,Q9H2S1,DB08837
T07740,D06PZZ,P48050,DB08837
T31882,D06PZZ,Q16322,DB08837
T04388,D06PZZ,Q9UGI6,DB08837
T19492,D06PZZ,P16389,DB08837
T85272,D06PZZ,Q09470,DB08837
T76914,D06PZZ,P22001,DB08837
T49080,D06PZZ,P48547,DB08837
T67063,D06PZZ,Q86W47,DB08837
T17569,D06PZZ,P22460,DB08837
T29635,D06PZZ,Q03721,DB08837
T84737,D06PZZ,Q96RP8,DB08837
T58496,D0D8PZ,Q8NET8,DB11755
T87023,D04FHG,P25105,DB02261
T86528,D0N0JL,P14324,DB04160
T68782,D06KBO,Q13258,DB02056
T85467,D06KBO,P43115,DB02056
T84040,D01KEE,O75762,DB03843
T31204,D07GXY,P41595,DB12478
T78709,D07GXY,P08908,DB12478
T24983,D07GXY,P21917,DB12478
T67162,D07GXY,P14416,DB12478
T01777,D07GXY,P18825,DB12478
T84117,D0J6JT,P28566,DB12110
T83813,D0J6JT,P28335,DB12110
T79062,D0J6JT,P34969,DB12110
T16691,D0J6JT,P50406,DB12110
T32060,D0J6JT,P28223,DB12110
T31204,D0J6JT,P41595,DB12110
T84040,D0Z0AA,O75762,DB09543
T84040,D0G4CI,O75762,DB03587
T01777,D06QKW,P18825,DB09202
T64213,D02RTS,Q9HBA0,DB04272
T18978,D02RTS,Q9P0L9,DB04272
T87463,D0UB2J,Q56921,DB02527
T99255,D04AXP,Q9UIG8,DB04574
T97322,D04AXP,Q96BD0,DB04574
T30687,D03TNT,P04150,DB04652
T32060,D0G7NW,P28223,DB09000
T78709,D0G7NW,P08908,DB09000
T79062,D0G7NW,P34969,DB09000
T83813,D0G7NW,P28335,DB09000
T55932,D07TYL,Q9BZV2,DB00152
T95997,D07TYL,O60779,DB00152
T32060,D0SP2J,P28223,DB01445
T16691,D0SP2J,P50406,DB01445
T79062,D0SP2J,P34969,DB01445
T05849,D0I8AF,P32239,DB09142
T39676,D06PZZ,Q96FL8,DB08837
T31935,D09BNS,Q7Z2H8,DB02959
T47768,D0O6SB,P35372,DB01548
T60693,D0O6SB,P41145,DB01548
T58992,D0O6SB,P41143,DB01548
T11211,D0Z3WA,P10275,DB01481
T11211,D09HQH,P10275,DB01541
T47768,D0B7GU,P35372,DB01565
T60693,D0B7GU,P41145,DB01565
T62912,D0B7GU,P01189,DB01565
T58992,D0B7GU,P41143,DB01565
T48873,D0I4ME,Q05940,DB01442
T83011,D0I4ME,P27338,DB01442
T55959,D0I4ME,Q01959,DB01442
T83875,D0I4ME,P21397,DB01442
T32060,D0I4ME,P28223,DB01442
T48873,D0R7ZC,Q05940,DB01472
T53381,D0R7ZC,P25100,DB01472
T83011,D0R7ZC,P27338,DB01472
T55959,D0R7ZC,Q01959,DB01472
T92609,D0R7ZC,P35348,DB01472
T40628,D0M8RO,P14060,DB01536
T40628,D0M8RO,P26439,DB01536
T47768,D0N5QC,P35372,DB01466
T11211,D03KYW,P10275,DB01564
T44011,D0R6DT,P14061,DB02187
T02001,D0R6MT,Q08499,DB07954
T07663,D0R6MT,O76074,DB07954
T77400,D0R6MT,O00408,DB07954
T40628,D08WDY,P14060,DB03515
T40628,D08WDY,P26439,DB03515
T96144,D0C9BH,P11388,DB03966
T96144,D0C9BH,Q02880,DB03966
T66665,D02IPX,P35354,DB03866
T06273,D08ZVM,P09874,DB03509
T33193,D0O4TL,P0AD68,DB03313
T66686,D0O4TL,P02919,DB03313
T76904,D09AYR,P21964,DB02105
T34429,D03TMD,P36544,DB01496
T16117,D06EWG,P29475,DB01942
T25703,D06EWG,P09601,DB01942
T19433,D06EWG,O60760,DB01942
T18639,D06EWG,P05230,DB01942
T70967,D03TMD,P43681,DB01496
T51452,D03TMD,P47869,DB01496
T02703,D03WOZ,P35228,DB02207
T06046,D03WOZ,P29474,DB02207
T02703,D0I7VD,P35228,DB02234
T06046,D0I7VD,P29474,DB02234
T99912,D05JZS,Q16719,DB07069
T60366,D03LMM,P11926,DB04263
T30082,D0J4QH,P22303,DB02845
T99799,D0J4QH,P06276,DB02845
T30082,D05CCT,P22303,DB08167
T60857,D09ALJ,P42330,DB01698
T65197,D0U9PX,P19235,DB07637
T60857,D0M8RO,P42330,DB01536
T44011,D0M8RO,P14061,DB01536
T86528,D02YHA,P14324,DB02552
T08813,D0UB2J,P10644,DB02527
T74952,D0UB2J,P31323,DB02527
T60529,D0HD9P,P23219,DB04557
T85943,D0U7BY,P12931,DB03902
T99799,D08LNT,P06276,DB04250
T03661,D0R7RB,P00813,DB04440
T86428,D0QX6B,P49356,DB07841
T86528,D0QX6B,P14324,DB07841
T13127,D0QX6B,P49354,DB07841
T13127,D0QX6B,P49356,DB07841
T46360,D03DLZ,Q99720,DB01488
T16691,D03DLZ,P50406,DB01488
T32060,D03DLZ,P28223,DB01488
T69619,D0M9YH,Q16853,DB04334
T48945,D08ZRW,O14746,DB00515
T67684,D0F5LH,P20309,DB01062
T60529,D03IRR,P23219,DB01435
T38017,D0O0VZ,Q14653,DB08399
T18477,D0ZA6G,P07900,DB03758
T40111,D05EHM,P20839,DB02109
T75596,D08CFL,P50579,DB02640
T50066,D0L1UK,P51788,DB04707
T51282,D0L1UK,Q13464,DB04707
T00140,D09VTJ,P09917,DB01892
T82702,D09VTJ,O75469,DB01892
T60529,D09VTJ,P23219,DB01892
T02134,D0Z6VR,P48507,DB12870
T95998,D02DLW,Q9Y5K3,DB04540
T41580,D0C9DC,P18089,DB08550
T01777,D0C9DC,P18825,DB08550
T83875,D0V3NT,P21397,DB09245
T83011,D0V3NT,P27338,DB09245
T66665,D01SNR,P35354,DB09217
T88975,D0R6MT,Q14432,DB07954
T77365,D0R6MT,P29274,DB07954
T10265,D0R6MT,Q07343,DB07954
T86679,D0R6MT,P29275,DB07954
T61744,D0R6MT,P27815,DB07954
T32060,D0U3GZ,P28223,DB01537
T53524,D03NPX,P16234,DB02567
T12499,D03NPX,P06239,DB02567
T85943,D03NPX,P12931,DB02567
T38284,D03NPX,P11274,DB02567
T38284,D03NPX,P00519,DB02567
T47101,D03NPX,P11362,DB02567
T59102,D03NPX,P09619,DB02567
T49639,D0A1CM,P0DMV8,DB08846
T49639,D0A1CM,P0DMV9,DB08846
T70977,D0A1CM,P49841,DB08846
T35445,D0A1CM,P84022,DB08846
T62431,D0A1CM,P43405,DB08846
T64567,D0A1CM,Q16790,DB08846
T13201,D0A1CM,P00915,DB08846
T93344,D0A1CM,Q14534,DB08846
T51565,D0A1CM,P68400,DB08846
T60529,D02DBP,P23219,DB11085
T83875,D08CNS,P21397,DB04818
T83011,D08CNS,P27338,DB04818
T55959,D02TMK,Q01959,DB01509
T75596,D0FO2B,P50579,DB11145
T55959,D02YOO,Q01959,DB09186
T13201,D03ZMQ,P00915,DB04665
T64567,D03ZMQ,Q16790,DB04665
T55959,D08AWN,Q01959,DB06731
T41580,D0ZT8D,P18089,DB13064
T01777,D0ZT8D,P18825,DB13064
T32060,D00WEQ,P28223,DB01484
T78709,D00WEQ,P08908,DB01484
T13201,D05WQF,P00915,DB01650
T47768,D0L6QN,P35372,DB09174
T60693,D0L6QN,P41145,DB09174
T58992,D0L6QN,P41143,DB09174
T16117,D03WOZ,P29475,DB02207
T55689,D02CWR,Q05469,DB01428
T62276,D0Q5PC,Q05586,DB03575
T76414,D0Q5PC,Q13224,DB03575
T22285,D0Q5PC,Q12879,DB03575
T08813,D0Z3CZ,P10644,DB07996
T52522,D0XX5S,P07550,DB12803
T44068,D0XX5S,P08588,DB12803
T32060,D0Q6PI,P28223,DB04325
T83875,D0R7ZC,P21397,DB01472
T66665,D0C5SV,P35354,DB00132
T32060,D0ZQ3Q,P28223,DB01467
T53381,D0E9VU,P25100,DB06707
T92609,D0E9VU,P35348,DB06707
T18477,D0M2TY,P07900,DB13174
T83813,D02ESW,P28335,DB12111
T75890,D0Y0DG,Q12882,DB03419
T78709,D0R5GS,P08908,DB12184
T40787,D0E4WF,Q13126,DB02282
T55922,D05FFR,P17707,DB12967
T95913,D0P1JI,P48736,DB08059
T67849,D0P1JI,O00329,DB08059
T77365,D0E4WF,P29274,DB02282
T86679,D0E4WF,P29275,DB02282
T92072,D0E4WF,P30542,DB02282
T05409,D05UQD,P08473,DB00886
T82577,D05UQD,P12821,DB00886
T32060,D0V4JO,P28223,DB08927
T58921,D03GWY,P37231,DB09201
T86702,D0P8YC,P08254,DB03880
T11211,D0BJ7W,P10275,DB12461
T55959,D0N2HF,Q01959,DB03701
T00140,D0N1SU,P09917,DB04725
T61698,D0G9ZW,P60568,DB11366
T89534,D08DZZ,P03372,DB01524
T80896,D08DZZ,Q92731,DB01524
T25258,D09FGX,P08183,DB04881
T96144,D00PIE,P11388,DB04975
T96144,D00PIE,Q02880,DB04975
T30082,D09JVV,P22303,DB00981
T11211,D0F7WQ,P10275,DB05107
T52522,D0AQ3H,P07550,DB11871
T09826,D0Q7FC,P11387,DB12222
T61744,D0U7PS,P27815,DB12137
T84631,D0D5RH,P00742,DB11984
T03403,D06FJO,P23219,DB09084
T03403,D06FJO,P35354,DB09084
T18477,D03PKI,P07900,DB02424
T74312,D0IT6Q,P36888,DB05465
T81850,D0N5HO,P37268,DB07780
T83875,D0IZ1D,P21397,DB13876
T34234,D0I4GI,P11473,DB06194
T75498,D07ZHV,P16083,DB04253
T73342,D04FXS,P23921,DB12948
T73342,D04FXS,P31350,DB12948
T73342,D04FXS,Q7LG56,DB12948
T61622,D09ELW,P00797,DB03395
T75596,D09OAQ,P50579,DB08633
T38301,D05HZI,P31350,DB06433
T55285,D0O6AQ,P23415,DB06741
T55285,D0O6AQ,O75311,DB06741
T55285,D0O6AQ,P48167,DB06741
T29683,D0IP6X,P29371,DB04872
T84631,D0E2MJ,P00742,DB06635
T61744,D02EMR,P27815,DB03849
T76198,D04SPK,P21731,DB06739
T31204,D0K8NW,P41595,DB12693
T32060,D0K8NW,P28223,DB12693
T83813,D0K8NW,P28335,DB12693
T84631,D09TGX,P00742,DB11869
T38338,D0K8NW,Q00975,DB12693
T08910,D0B8YZ,P18507,DB12308
T78709,D01DAW,P08908,DB04888
T67162,D01DAW,P14416,DB04888
T25258,D06DCL,P08183,DB06191
T32060,D0E6UA,P28223,DB06512
T83813,D0E6UA,P28335,DB06512
T67162,D01PIL,P14416,DB00409
T67162,D0OC3J,P14416,DB00875
T38875,D07XPE,Q13131,DB00914
T38875,D07XPE,Q9Y478,DB00914
T38875,D07XPE,P54619,DB00914
T03403,D0SU1G,P23219,DB04828
T03403,D0SU1G,P35354,DB04828
T23499,D0T1RG,P25101,DB06268
T44068,D01VAB,P08588,DB00866
T67162,D0P3DM,P14416,DB01463
T39716,D06PAZ,Q14524,DB01228
T94033,D0JQ7Y,P00734,DB04898
T97613,D0Y8UB,P48039,DB06594
T67162,D06BPG,P14416,DB04821
T67162,D0OS6O,P14416,DB06144
T03403,D0R6AB,P23219,DB09215
T03403,D0R6AB,P35354,DB09215
T60529,D0O2IE,P23219,DB03783
T40111,D0O2IE,P20839,DB03783
T79961,D07KYU,P08912,DB09023
T73712,D0Q5PL,P07148,DB08951
T56923,D0Q5PL,P25025,DB08951
T00884,D0Q5PL,P25024,DB08951
T66665,D0Q5PL,P35354,DB08951
T60529,D0Q5PL,P23219,DB08951
T53381,D02LHR,P25100,DB08950
T01777,D02LHR,P18825,DB08950
T41580,D02LHR,P18089,DB08950
T78709,D0M7LV,P08908,DB04829
T32060,D0M7LV,P28223,DB04829
T31204,D02FEA,P41595,DB08980
T00140,D0U2CB,P09917,DB08955
T56418,D0N8YJ,Q9UM73,DB12130
T69128,D0N8YJ,P08922,DB12130
T38284,D0WL1U,P11274,DB08901
T38284,D0WL1U,P00519,DB08901
T61746,D0KG9M,P07858,DB01422
T76198,D00HTY,P21731,DB12789
T85467,D00HTY,P43115,DB12789
T68782,D00HTY,Q13258,DB12789
T79591,D0J6XC,P10827,DB03604
T98933,D0J6XC,P10828,DB03604
T93798,D0I2FI,P29973,DB04209
T04388,D0I2FI,Q9UGI6,DB04209
T86271,D0I2FI,Q9H2S1,DB04209
T05152,D04KJT,P26664,DB09183
T89988,D0V0NL,P41597,DB05383
T86679,D0M3IN,P29275,DB02134
T09826,D04TIJ,P11387,DB12124
T31391,D05LPW,P27487,DB12625
T68547,D00SSZ,Q13547,DB12279
T61622,D0U7OS,P00797,DB13097
T02703,D0V0NL,P35228,DB05383
T47768,D06EXA,P35372,DB12327
T58992,D06EXA,P41143,DB12327
T60693,D06EXA,P41145,DB12327
T05031,D0G3MN,P42338,DB11795
T37847,D0R9YR,P04293,DB12480
T61622,D01QSG,P00797,DB12416
T31391,D07EPV,P27487,DB11950
T50688,D0V7PL,P08514,DB04863
T50688,D0V7PL,P05106,DB04863
T59328,D0Z4RC,P00533,DB12174
T14597,D0Z4RC,P04626,DB12174
T96623,D01FYA,P08238,DB12638
T87686,D0C6GK,Q8TEK3,DB12920
T63505,D0E0NM,P00519,DB13005
T95913,D0E6UZ,P48736,DB11891
T92144,D0E0NM,Q02763,DB13005
T56418,D0L9PA,Q9UM73,DB13104
T24982,D09NTG,Q12908,DB04348
T83875,D0H7PW,P21397,DB12582
T83011,D0H7PW,P27338,DB12582
T22118,D0D3VT,P21728,DB12890
T59679,D01HVZ,Q13639,DB12725
T22939,D07MON,P06401,DB12637
T61400,D0N3XT,Q02127,DB03523
T60693,D07YHM,P41145,DB12341
T30082,D0W3BA,P22303,DB13058
T70176,D05ADP,P24941,DB06195
T58449,D05ADP,P50613,DB06195
T49898,D05ADP,P06493,DB06195
T09826,D0B6YB,P11387,DB05482
T68547,D00FHR,Q13547,DB11830
T56418,D04DYC,Q9UM73,DB12130
T37693,D0Q7NB,P34972,DB11903
T98933,D03MYO,P10828,DB12914
T03403,D05OQX,P23219,DB12445
T03403,D05OQX,P35354,DB12445
T68547,D0B7CH,Q13547,DB06819
T62449,D0Z9VY,O14757,DB01933
T82577,D00ERV,P12821,DB12923
T05409,D00ERV,P08473,DB12923
T47094,D0P1YE,P25103,DB12427
T22583,D0V4MB,Q9NY91,DB12935
T76059,D0N0AR,P62942,DB05814
T61744,D0M7CB,P27815,DB13029
T10265,D0M7CB,Q07343,DB13029
T02001,D0M7CB,Q08499,DB13029
T35486,D00KTV,P01111,DB12681
T40492,D07TYE,P26664,DB12026
T34234,D0R8IE,P11473,DB04796
T01777,D0B3ZF,P18825,DB12057
T63505,D06JHV,P00519,DB11904
T55654,D0X0CB,P13569,DB09280
T16691,D0V4ZQ,P50406,DB12229
T09826,D07UHX,P11387,DB12515
T61683,D09MIN,P98170,DB12085
T61683,D09MIN,Q13490,DB12085
T61683,D09MIN,Q13489,DB12085
T61683,D09MIN,Q96CA5,DB12085
T61683,D09MIN,O15392,DB12085
T89534,D0L3TR,P03372,DB12235
T40954,D0WK0P,P47989,DB01685
T59328,D02BYZ,P00533,DB12036
T61744,D0Z2FB,P27815,DB01791
T02001,D0Z2FB,Q08499,DB01791
T10265,D0Z2FB,Q07343,DB01791
T48873,D01IVE,Q05940,DB05137
T09826,D0U6ML,P11387,DB12459
T15377,D00ERV,P16615,DB12923
T31309,D0Z0HH,P10415,DB13044
T34429,D0ZC3C,P36544,DB05708
T78709,D0F6TD,P08908,DB12361
T23499,D09LQK,P25101,DB12054
T07303,D0P6DJ,P35916,DB04879
T59328,D0P6DJ,P00533,DB04879
T80975,D0P6DJ,P35968,DB04879
T80782,D0P6DJ,P17948,DB04879
T28661,D0PF3J,Q13885,DB12730
T03917,D0A4YK,P05023,DB12843
T03917,D0A4YK,P13637,DB12843
T03917,D0A4YK,P05026,DB12843
T03917,D0A4YK,P54709,DB12843
T62449,D00NZL,O14757,DB11662
T75243,D00KTV,P42345,DB12681
T47768,D02INX,P35372,DB12013
T40474,D06EGV,P08581,DB12381
T89534,D09NST,P03372,DB04468
T80896,D01HXA,Q92731,DB11674
T28713,D00EPT,O96017,DB05786
T20178,D0YX7E,P01375,DB11669
T52522,D0J1AV,P07550,DB12100
T67162,D0C8PE,P14416,DB12579
T31204,D02BRJ,P41595,DB12071
T83813,D02BRJ,P28335,DB12071
T58921,D02TGD,P37231,DB09199
T64567,D04IIU,Q16790,DB06370
T40555,D06LUZ,P26664,DB09027
T31391,D07HZG,P27487,DB08382
T97592,D08HOM,Q9UQB9,DB11694
T83145,D08UOY,P19838,DB06235
T83145,D08UOY,Q00653,DB06235
T83145,D08UOY,Q04206,DB06235
T83145,D08UOY,Q01201,DB06235
T83145,D08UOY,Q04864,DB06235
T80975,D0D1GF,P35968,DB12307
T40474,D0D1GF,P08581,DB12307
T96144,D0E3EY,P11388,DB05129
T96144,D0E3EY,Q02880,DB05129
T52522,D0GP8P,P07550,DB12526
T83813,D0I7MT,P28335,DB12290
T85943,D0M0XB,P12931,DB11805
T63505,D0M0XB,P00519,DB11805
T66665,D0U8OD,P35354,DB05095
T75243,D0VG0D,P42345,DB11651
T95913,D0VG0D,P48736,DB11651
T76685,D0W3GL,P21554,DB13070
T14597,D0YB3W,P04626,DB05424
T92057,D0YB3W,Q15303,DB05424
T59328,D0YB3W,P00533,DB05424
T67619,D0YB3W,P31749,DB05424
T87675,D08HOM,O14965,DB11694
T46781,D08HOM,Q96GD4,DB11694
T30085,D0V4MB,P31639,DB12935
T61744,DB82TO,P27815,DB08811
T77400,DB82TO,O00408,DB08811
T80896,D0L4FS,Q92731,DB01645
T76198,D0GC5H,P21731,DB13036
T10897,D09PVO,O00767,DB11860
T52522,D03MZJ,P07550,DB12752
T44068,D03MZJ,P08588,DB12752
T32880,D03YKE,Q9GZT9,DB04847
T68547,D0M8FD,Q13547,DB11841
T96079,D0O2XQ,P61073,DB05501
T20178,D08DGC,P01375,DB12193
T99840,D00GPQ,Q96BI3,DB12005
T99840,D00GPQ,Q8WW43,DB12005
T99840,D00GPQ,Q9NZ42,DB12005
T99840,D00GPQ,Q92542,DB12005
T99840,D00GPQ,P49768,DB12005
T96144,D00NVM,P11388,DB11999
T96144,D00NVM,Q02880,DB11999
T71266,D01ZAQ,Q9Y243,DB12218
T13127,D07NPS,P49354,DB04960
T13127,D07NPS,P49356,DB04960
T36557,D0LW1Y,Q03181,DB05187
T86591,D0LW1Y,Q07869,DB05187
T31309,D06ETI,P10415,DB12340
T56510,D06ETI,Q07817,DB12340
T03755,D06ETI,Q92843,DB12340
T12355,D06ETI,P24385,DB12340
T86528,D07NPS,P14324,DB04960
T67619,D01ZAQ,P31749,DB12218
T79961,D05IIP,P08912,DB11960
T47094,D0G3YC,P25103,DB09048
T75596,D0E4VQ,P50579,DB12671
T53904,D03YKE,Q96KS0,DB04847
T05409,D0WF7K,P08473,DB00616
T67162,D08GJH,P14416,DB09223
T32060,D08GJH,P28223,DB09223
T38338,D0N3SR,Q00975,DB09232
T23499,D0Y6UU,P25101,DB06199
T80975,D09VMI,P35968,DB04849
T68547,D0GH3Q,Q13547,DB12645
T08391,D0GH3Q,O60674,DB12645
T58921,D08PFA,P37231,DB09200
T20808,D0K7FT,O75874,DB13874
T20808,D0K7FT,P50213,DB13874
T20808,D0K7FT,O43837,DB13874
T20808,D0K7FT,P51553,DB13874
T31391,D04XIO,P27487,DB11723
T09826,D01FUC,P11387,DB12185
T31391,D0ZD3C,P27487,DB12412
T23172,D06EIC,P52333,DB11708
T62460,D06EIC,P23458,DB11708
T21782,D02PQB,P12004,DB03619
T49493,D03HVV,P69905,DB08486
T02258,D0W5NW,O75417,DB12151
T02258,D0W5NW,P06746,DB12151
T02258,D0W5NW,Q9UHN1,DB12151
T02258,D0W5NW,P54098,DB12151
T02258,D0W5NW,P56282,DB12151
T02258,D0W5NW,Q9HCU8,DB12151
T02258,D0W5NW,P28340,DB12151
T55654,D0Z5HR,P13569,DB11712
T84581,D08BXT,Q16881,DB03566
T83145,D0I6LH,P19838,DB12025
T83145,D0I6LH,Q00653,DB12025
T83145,D0I6LH,Q04206,DB12025
T83145,D0I6LH,Q01201,DB12025
T83145,D0I6LH,Q04864,DB12025
T64567,D07SDQ,Q16790,DB11672
T37848,D07SDQ,P08684,DB11672
T02703,D07SDQ,P35228,DB11672
T13201,D07SDQ,P00915,DB11672
T65501,D07SDQ,Q9UBC3,DB11672
T40954,D07SDQ,P47989,DB11672
T60529,D07SDQ,P23219,DB11672
T54156,D07SDQ,P14780,DB11672
T66665,D07SDQ,P35354,DB11672
T87024,D07SDQ,P05067,DB11672
T30082,D07CIN,P22303,DB04892
T99799,D07CIN,P06276,DB04892
T59328,D0M4AV,P00533,DB11907
T02779,D09IRQ,P11532,DB05016
T40694,D00BYM,P53350,DB12062
T24793,D06GRK,Q01668,DB06712
T51115,D06GRK,Q13936,DB06712
T83145,D0JN5N,P19838,DB06685
T83145,D0JN5N,Q00653,DB06685
T83145,D0JN5N,Q04206,DB06685
T83145,D0JN5N,Q01201,DB06685
T83145,D0JN5N,Q04864,DB06685
T16688,D0F1CE,O75907,DB12866
T31391,D0M3XR,P27487,DB11992
T11843,D07VIB,Q9BQB6,DB12823
T16691,D09IRN,P50406,DB11957
T32060,D0Q0EF,P28223,DB06077
T38284,D01NIR,P11274,DB12323
T38284,D01NIR,P00519,DB12323
T30085,D07FBM,P31639,DB11698
T97740,D07QJK,P50897,DB04977
T85799,D08MXP,P11802,DB11730
T89361,D08MXP,Q00534,DB11730
T09826,D09YDM,P11387,DB04690
T08391,D0D5ZJ,O60674,DB11763
T62460,D0D5ZJ,P23458,DB11763
T58921,D0F3NH,P37231,DB12781
T42446,D0GX3L,Q9UBS5,DB08892
T42446,D0GX3L,O75899,DB08892
T53524,D0J1GR,P16234,DB11832
T40694,D0KF9Q,P53350,DB12146
T95913,D0KF9Q,P48736,DB12146
T40555,D0LF5Q,P26664,DB09296
T96144,D0Q4OW,P11388,DB06193
T96144,D0Q4OW,Q02880,DB06193
T80276,D0UP1Z,P42336,DB12108
T22118,D0Y6HW,P21728,DB12273
T64591,D0Z2MB,P46098,DB04885
T80975,D0Q9CY,P35968,DB11828
T96788,D0Q9CY,P04626,DB11828
T59328,D0Q9CY,P00533,DB11828
T14597,D0Q9CY,P04626,DB11828
T66665,D0W2CX,P35354,DB12399
T13201,D0W2CX,P00915,DB12399
T35940,D0T5DP,Q02750,DB11689
T40474,D0LW0T,P08581,DB12048
T74312,D07KYT,P36888,DB12874
T85943,D0J1GR,P12931,DB11832
T89055,D0T5DP,P36507,DB11689
T95913,D0UP1Z,P48736,DB12108
T72545,D05STQ,P0AFI2,DB11774
T51672,DN62DG,P25963,DB12881
T01777,D0Y4DY,P18825,DB06694
T72841,D0B4RU,P11474,DB02789
T46521,D04DJN,P10275,DB02901
T11211,D04DJN,P10275,DB02901
T32262,D0V9VG,Q16602,DB12457
T80276,D0W7HE,P42336,DB12015
T86591,D04BCB,Q07869,DB09198
T58921,D04BCB,P37231,DB09198
T85799,D00UZR,P11802,DB09073
T89361,D00UZR,Q00534,DB09073
T77365,D0F4ZY,P29274,DB11757
T13852,D07FKQ,P21453,DB12371
T35842,D0X9PF,Q01726,DB11653
T72458,D0X9PF,P32245,DB11653
T08391,D0G8BM,O60674,DB12500
T25265,D00EQL,Q15910,DB12887
T14597,D09GRX,P04626,DB11652
T40474,D07OJZ,P08581,DB11791
T13127,D0W4HZ,P49354,DB06448
T13127,D0W4HZ,P49356,DB06448
T25464,D0L9HX,Q08209,DB11693
T63966,D0W7JZ,P17948,DB11800
T07303,D0W7JZ,P35916,DB11800
T80975,D0W7JZ,P35968,DB11800
T00972,D00ZCT,P04578,DB11796
T92403,D04TQO,P48764,DB11761
T20333,D09TAB,P07333,DB12978
T13852,D07EDB,P21453,DB12612
T57700,D09TAB,P10721,DB12978
T74312,D09TAB,P36888,DB12978
T69128,D0O0LS,P08922,DB11986
T56418,D0O0LS,Q9UM73,DB11986
T84703,D0O0LS,Q16620,DB11986
T51076,D0O0LS,Q16288,DB11986
T07173,D0O0LS,P04629,DB11986
T13852,D0Y4SI,P21453,DB12016
T11211,D0DV6D,P10275,DB12941
T28692,D0J5DC,P06858,DB00636
T79961,D07ZTO,P08912,DB01019
T47768,D0T5OX,P35372,DB00899
T86591,D07XGR,Q07869,DB01039
T58921,D03OFF,P37231,DB01132
T46360,D09OBB,Q99720,DB00514
T67162,D06YFA,P14416,DB01200
T58992,D03SKD,P41143,DB00497
T22285,D0M8AB,Q12879,DB00145
T34234,D02VPX,P11473,DB00146
T34234,D06JPB,P11473,DB00153
T34234,D01QUS,P11473,DB02300
T31204,D05NOS,P41595,DB00508
T64591,D0TZ1G,P46098,DB00721
T67162,D0T2IA,P14416,DB00298
T67162,D01JUF,P14416,DB00692
T11211,D0Y0SW,P10275,DB00499
T11211,D0SN9T,P10275,DB00665
T44068,D00IUG,P08588,DB01210
T44068,D03XTC,P08588,DB00187
T44068,D03ROX,P08588,DB00195
T09960,D0NR6S,P51681,DB04835
T67162,D03QGM,P14416,DB00391
T67162,D0U5OE,P14416,DB00408
T67162,D0D1AL,P14416,DB00502
T67162,D0Y0ER,P14416,DB00372
T67162,D00KHM,P14416,DB01100
T67162,D0AV3G,P14416,DB01184
T67162,D0E0LQ,P14416,DB01623
T40016,D0Y7IU,P04150,DB01222
T79961,D05TIB,P08912,DB00209
T67684,D0P1WA,P20309,DB01409
T74456,D06UDG,P30556,DB00177
